id,EdadNÚMEROCONCRETO,Género,Niveldeestudios,Creenciasreligiosas,Quéedadconsideraslamejorpa,Cuántoshijostegustaríatener,Aborto,fecundacioninvitro,adopcion,gestacionsubrogada,notendriahijos,FamiliaMONOparental,FamiliaHOMOsexual,Divorciados,Recurriraldivorcio,Matrimonio_hijos,Hijodetupareja,SituviesesunhijoQuétipode,GENERO2,NIVEL_ESTUDIOS2,CREENCIAS_RELIGIOSAS2,INVITRO2,ADOPCION2,GESTACION_SUBROGADA2,NO_TENDRÍA_HIJOS2,SI_TUVIESES_UN_HIJO_QUÉ_TIPO_DE,Edadclases,EDADV2
17,18,Mujer,Estudios Universitarios,Agnóstico,30,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,3,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
18,18,Hombre,Estudios Universitarios,Ateo,28,3,si,Primera opción, ,Segunda opción,Tercera opción,si,si,no,no,no,si,Compartida,Hombre,Estudios Universitarios,Ateo,Primera opción,5,Segunda opción,Tercera opción,Compartida,16-20,15-25
19,18,Hombre,Estudios Universitarios,Creyente,30,3,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,no,si,si,Compartida,Hombre,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
20,18,Hombre,Estudios Universitarios,Creyente,28,3,si,Segunda opción,Primera opción,Tercera opción, ,si,si,si,si,no,si,Compartida,Hombre,Estudios Universitarios,Creyente,Segunda opción,Primera opción,Tercera opción,5,Compartida,16-20,15-25
21,18,Hombre,Estudios secundarios,Agnóstico,36,2,no,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios secundarios,Agnóstico,Primera opción,Segunda opción,5,Tercera opción,Compartida,16-20,15-25
22,20,Mujer,Estudios secundarios,Creyente,30,3,no,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,si,si,no,si,Compartida,Mujer,Estudios secundarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,20-25,15-25
23,18,Mujer,Estudios Universitarios,Ateo,27,4,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Tercera opción,5,Compartida,16-20,15-25
24,18,Hombre,Estudios Universitarios,Ateo,27,2,si,Cuarta opción,Segunda opción,Tercera opción,Primera opción,si,si,no,3,no,no,Compartida,Hombre,Estudios Universitarios,Ateo,Cuarta opción,Segunda opción,Tercera opción,Primera opción,Compartida,16-20,15-25
25,37,Hombre,Estudios Universitarios,Ateo,25,2,si,Segunda opción,Tercera opción,Primera opción, ,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Ateo,Segunda opción,Tercera opción,Primera opción,5,Compartida,30-40,35-45
26,18,Hombre,Estudios Universitarios,Agnóstico,30,3,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,no,no,no,Compartida,Hombre,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
27,19,Mujer,Estudios Universitarios,Creyente,27,3,no,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
28,19,Hombre,Estudios Universitarios,Creyente,30,2,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
29,43,Hombre,Estudios de Formación Profesional,Ateo,30,2,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios de Formación Profesional,Ateo,Primera opción,Segunda opción,5,Tercera opción,Compartida,40-50,35-45
30,19,Mujer,Estudios Universitarios,Creyente,28,5,si,Segunda opción,Primera opción,Tercera opción,Cuarta opción,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Creyente,Segunda opción,Primera opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
31,18,Mujer,Estudios Universitarios,Agnóstico,27,3,si,Primera opción,Tercera opción,Segunda opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Tercera opción,Segunda opción,Cuarta opción,Compartida,16-20,15-25
32,60,Hombre,Estudios Universitarios,Agnóstico,28,3,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,no,no,si,Compartida,Hombre,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,5,Tercera opción,Compartida,50-65,55-65
33,25,Mujer,Estudios Universitarios,Ateo,30,2,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,25-30,25-35
34,24,Mujer,Estudios Universitarios,Ateo,28,2,si,Primera opción,Segunda opción, , ,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,5,5,Compartida,20-25,15-25
35,47,Mujer,Estudios Universitarios,Creyente,30,3,si,Primera opción, , ,Segunda opción,si,si,no,si,si,si,Única,Mujer,Estudios Universitarios,Creyente,Primera opción,5,5,Segunda opción,Única,40-50,45-55
36,19,Mujer,Estudios secundarios,Ateo,30,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,si,si,no,si,Compartida,,Estudios secundarios,Ateo,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
37,69,Hombre,Estudios Universitarios,Agnóstico,30,6,si, , , ,Primera opción,si,si,no,si,si,si,Compartida,Hombre,Estudios Universitarios,Agnóstico,5,5,5,Primera opción,Compartida,65-85,65-75
38,66,Mujer,Estudios secundarios,Creyente,24,5,si, , , ,Primera opción,si,si,no,si,si,si,Compartida,Mujer,Estudios secundarios,Creyente,5,5,5,Primera opción,Compartida,65-85,65-75
39,19,Mujer,Estudios Universitarios,Ateo,30,1,si, ,Primera opción, ,Segunda opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,5,Primera opción,5,Segunda opción,Compartida,16-20,15-25
40,20,Mujer,Estudios de Formación Profesional,Ateo,25,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios de Formación Profesional,Ateo,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,20-25,15-25
41,59,Hombre,Estudios de Formación Profesional,Ateo,35,0,si,Primera opción,Tercera opción,Segunda opción,Primera opción,si,si,no,si,no,no,Única,Hombre,Estudios de Formación Profesional,Ateo,Primera opción,Tercera opción,Segunda opción,Primera opción,Única,50-65,55-65
42,22,Mujer,Estudios Universitarios,Ateo,30,4,si,Primera opción,Tercera opción,Segunda opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Tercera opción,Segunda opción,5,Compartida,20-25,15-25
43,19,Mujer,Estudios Universitarios,Creyente,25,2,si, ,Primera opción, , ,si,si,no,no,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,5,Primera opción,5,5,Compartida,16-20,15-25
44,18,Mujer,Estudios Universitarios,Ateo,28,3,si,Segunda opción,Primera opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Segunda opción,Primera opción,Tercera opción,5,Compartida,16-20,15-25
45,23,Hombre,Estudios Universitarios,Ateo,30,1,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,no,Compartida,Hombre,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,20-25,15-25
46,38,Mujer,Estudios Universitarios,Ateo,30,5,si,Primera opción,Segunda opción,Tercera opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Tercera opción,Tercera opción,Compartida,30-40,35-45
47,18,Mujer,Estudios Universitarios,Creyente,32,3,si,Primera opción,Segunda opción,Tercera opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Tercera opción,Compartida,16-20,15-25
48,19,Hombre,Estudios Universitarios,Agnóstico,29,2,si,Primera opción,Tercera opción,Segunda opción,Cuarta opción,si,si,no,si,si,no,Única,Hombre,Estudios Universitarios,Agnóstico,Primera opción,Tercera opción,Segunda opción,Cuarta opción,Única,16-20,15-25
49,18,Mujer,Estudios Universitarios,Creyente,28,3,si,Primera opción,Segunda opción,Tercera opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Tercera opción,Compartida,16-20,15-25
50,18,Mujer,Estudios Universitarios,Agnóstico,30,0,si,Segunda opción,Primera opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Segunda opción,Primera opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
51,59,Mujer,Estudios Universitarios,Creyente,28,3,si,Primera opción,Segunda opción, , ,si,si,no,si,no,si,Única,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,5,Única,50-65,55-65
52,53,Mujer,Estudios de Formación Profesional,Creyente,30,2,si,Primera opción,Segunda opción, ,Tercera opción,si,si,no,si,no,no,Única,Mujer,Estudios de Formación Profesional,Creyente,Primera opción,Segunda opción,5,Tercera opción,Única,50-65,45-55
53,54,Hombre,Estudios de Formación Profesional,Creyente,28,2,si,Primera opción,Primera opción,Primera opción,Primera opción,si,no,no,si,no,no,Única,Hombre,Estudios de Formación Profesional,Creyente,Primera opción,Primera opción,Primera opción,Primera opción,Única,50-65,45-55
54,18,Mujer,Estudios Universitarios,Agnóstico,30,3,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Tercera opción,5,Compartida,16-20,15-25
55,29,Mujer,Estudios Universitarios,Creyente,28,4,no,Primera opción,Cuarta opción,Cuarta opción,Tercera opción,si,si,si,no,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Cuarta opción,Cuarta opción,Tercera opción,Compartida,25-30,25-35
56,18,Mujer,Estudios Universitarios,"Agnóstico, Creyente",28,3,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,"Agnóstico, Creyente",Primera opción,Segunda opción,Tercera opción,5,Compartida,16-20,15-25
57,19,Mujer,Estudios Universitarios,Creyente,30,3,no,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
58,48,Mujer,Estudios Universitarios,Agnóstico,30,2,si, ,Primera opción, ,Segunda opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,5,Primera opción,5,Segunda opción,Compartida,40-50,45-55
59,19,Mujer,Estudios Universitarios,Agnóstico,31,3,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
60,18,Mujer,Estudios Universitarios,Creyente,30,3,si,Segunda opción,Primera opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Segunda opción,Primera opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
61,18,Mujer,Estudios Universitarios,Ateo,28,2,si,Tercera opción,Segunda opción,Cuarta opción,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Tercera opción,Segunda opción,Cuarta opción,Primera opción,Compartida,16-20,15-25
62,30,Mujer,Estudios Universitarios,Creyente,31,2,si,Primera opción, , ,Segunda opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,5,5,Segunda opción,Compartida,30-40,25-35
63,35,Mujer,Estudios secundarios,Creyente,30,2,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,si,Compartida,,Estudios secundarios,Creyente,Primera opción,Segunda opción,Tercera opción,5,Compartida,30-40,35-45
64,19,Mujer,Estudios Universitarios,Creyente,31,4,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,si,no,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
65,16,Hombre,Estudios secundarios,Agnóstico,26,2,no, ,Primera opción,Segunda opción,Tercera opción,si,si,no,si,si,si,Compartida,Hombre,Estudios secundarios,Agnóstico,5,Primera opción,Segunda opción,Tercera opción,Compartida,,15-25
66,18,Mujer,Estudios Universitarios,Ateo,32,3,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
67,19,Hombre,Estudios secundarios,Ateo,33,2,si,Segunda opción,Tercera opción, ,Primera opción,si,si,no,no,si,si,Compartida,Hombre,Estudios secundarios,Ateo,Segunda opción,Tercera opción,5,Primera opción,Compartida,16-20,15-25
68,51,Mujer,Estudios Universitarios,Creyente,30,3,no,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,5,Compartida,50-65,45-55
69,18,Hombre,Estudios Universitarios,Creyente,35,2,no,Tercera opción,Segunda opción,Cuarta opción,Primera opción,si,si,no,si,no,no,Compartida,Hombre,Estudios Universitarios,Creyente,Tercera opción,Segunda opción,Cuarta opción,Primera opción,Compartida,16-20,15-25
70,19,Mujer,Estudios Universitarios,Creyente,29,2,si,Tercera opción,Segunda opción,Primera opción, ,si,si,si,si,no,si,Única,Mujer,Estudios Universitarios,Creyente,Tercera opción,Segunda opción,Primera opción,5,Única,16-20,15-25
71,18,Mujer,Estudios Universitarios,Creyente,28,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
72,17,Mujer,Estudios secundarios,Ateo,28,2,si,Primera opción,Segunda opción, ,Tercera opción,si,si,si,no,no,si,Compartida,Mujer,Estudios secundarios,Ateo,Primera opción,Segunda opción,5,Tercera opción,Compartida,16-20,15-25
73,47,Hombre,Estudios Universitarios,Creyente,24,2,no,Primera opción,Segunda opción, , ,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Creyente,Primera opción,Segunda opción,5,5,Compartida,40-50,45-55
74,18,Mujer,Estudios Universitarios,Ateo,28,4,si,Segunda opción,Primera opción, ,Tercera opción,si,si,no,si,no,no,Única,Mujer,Estudios Universitarios,Ateo,Segunda opción,Primera opción,5,Tercera opción,Única,16-20,15-25
75,29,Hombre,Estudios Universitarios,Agnóstico,27,3,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,25-30,25-35
76,18,Mujer,Estudios Universitarios,Agnóstico,37,2,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,si, ,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Tercera opción,Cuarta opción,4,16-20,15-25
77,18,Mujer,Estudios Universitarios,Creyente,25,3,si,Segunda opción,Tercera opción,Primera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Segunda opción,Tercera opción,Primera opción,Cuarta opción,Compartida,16-20,15-25
78,52,Mujer,Estudios de Formación Profesional,Creyente,30,2,si,Primera opción,Segunda opción, , ,si,si,no,no,no,si,Compartida,Mujer,Estudios de Formación Profesional,Creyente,Primera opción,Segunda opción,5,5,Compartida,50-65,45-55
79,55,Mujer,Estudios secundarios,Creyente,25,1,si, ,Primera opción, ,Tercera opción,si,si,no,si,no,no,Compartida,Mujer,Estudios secundarios,Creyente,5,Primera opción,5,Tercera opción,Compartida,50-65,55-65
80,18,Mujer,Estudios Universitarios,Agnóstico,34,2,si,Segunda opción,Primera opción,Cuarta opción,Tercera opción,si,si,si,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Segunda opción,Primera opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
81,47,Hombre,Estudios Universitarios,Ateo,35,0,si, , , ,Primera opción,si,si,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Ateo,5,5,5,Primera opción,Compartida,40-50,45-55
82,18,Mujer,Estudios Universitarios,Creyente,30,4,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,si,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
83,18,Mujer,Estudios Universitarios,Agnóstico,30,2,si,Primera opción,Tercera opción,Segunda opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Tercera opción,Segunda opción,Cuarta opción,Compartida,16-20,15-25
84,18,Mujer,Estudios Universitarios,Creyente,27,1,si,Primera opción,Segunda opción,Segunda opción,Tercera opción,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Segunda opción,Tercera opción,Compartida,16-20,15-25
85,18,Hombre,Estudios Universitarios,Creyente,28,2,si,Primera opción,Tercera opción,Segunda opción,Cuarta opción,si,si,si,si,no,si,Compartida,Hombre,Estudios Universitarios,Creyente,Primera opción,Tercera opción,Segunda opción,Cuarta opción,Compartida,16-20,15-25
86,18,Mujer,Estudios Universitarios,Ateo,34,1,si,Primera opción,Segunda opción, ,Segunda opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,5,Segunda opción,Compartida,16-20,15-25
87,18,Hombre,Estudios Universitarios,Creyente,30,2,si,Primera opción,Cuarta opción,Segunda opción,Tercera opción,si,no,no,si,no,si,Compartida,Hombre,Estudios Universitarios,Creyente,Primera opción,Cuarta opción,Segunda opción,Tercera opción,Compartida,16-20,15-25
88,18,Mujer,Estudios secundarios,Agnóstico,28,2,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios secundarios,Agnóstico,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
89,18,Mujer,Estudios Universitarios,Ateo,30,2,si,Primera opción,Segunda opción,Tercera opción, ,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Tercera opción,5,Compartida,16-20,15-25
90,18,Mujer,Estudios Universitarios,Creyente,28,2,si,Primera opción,Tercera opción,Segunda opción,Cuarta opción,si,si,,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Tercera opción,Segunda opción,Cuarta opción,Compartida,16-20,15-25
91,17,Mujer,Estudios secundarios,"Ateo, Agnóstico",28,0,si,Tercera opción,Primera opción,Cuarta opción,Segunda opción,si,si,no,si,no,si,Compartida,Mujer,Estudios secundarios,"Ateo, Agnóstico",Tercera opción,Primera opción,Cuarta opción,Segunda opción,Compartida,16-20,15-25
92,18,Mujer,Estudios Universitarios,Agnóstico,25,2,si,Primera opción,Primera opción,Tercera opción,Segunda opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Primera opción,Tercera opción,Segunda opción,Compartida,16-20,15-25
93,20,Mujer,Estudios Universitarios,Agnóstico,28,2,si,Tercera opción,Primera opción, ,Segunda opción,si,si,no,si,no,si,Única,Mujer,Estudios Universitarios,Agnóstico,Tercera opción,Primera opción,5,Segunda opción,Única,20-25,15-25
94,20,Mujer,Estudios Universitarios,Ateo,30,3,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Única,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Única,20-25,15-25
95,21,Mujer,Estudios Universitarios,Ateo,32,2,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,20-25,15-25
96,18,Mujer,Estudios Universitarios,Ateo,35,0,si,Primera opción,Segunda opción,Cuarta opción,Tercera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Ateo,Primera opción,Segunda opción,Cuarta opción,Tercera opción,Compartida,16-20,15-25
97,21,Otro,Estudios Universitarios,Ateo,40,2,si,Segunda opción,Primera opción,Tercera opción, ,si,si,no,si,no,si,Compartida,Otro,Estudios Universitarios,Ateo,Segunda opción,Primera opción,Tercera opción,5,Compartida,20-25,15-25
98,20,Mujer,Estudios de Formación Profesional,Creyente,30,1,si, ,Primera opción, , ,si,si,no,si,no,3,Compartida,Mujer,Estudios de Formación Profesional,Creyente,5,Primera opción,5,5,Compartida,20-25,15-25
99,18,Hombre,Estudios secundarios,Creyente,30,2,no,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,si,si,Compartida,Hombre,Estudios secundarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
100,18,Mujer,Estudios Universitarios,Agnóstico,29,2,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Agnóstico,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,16-20,15-25
101,56,Mujer,Estudios primarios,Agnóstico,30,,si, , , ,Primera opción,si,si,no,si,no,si,Compartida,Mujer,Estudios primarios,Agnóstico,5,5,5,Primera opción,Compartida,50-65,55-65
102,47,Mujer,Estudios Universitarios,Creyente,30,,si,Segunda opción, , ,Primera opción,si,si,no,si,no,no,Compartida,Mujer,Estudios Universitarios,Creyente,Segunda opción,5,5,Primera opción,Compartida,40-50,45-55
103,18,Mujer,Estudios secundarios,Creyente,27,1,si,Primera opción,Cuarta opción,Segunda opción,Tercera opción,si,si,no,si,no,no,Compartida,Mujer,Estudios secundarios,Creyente,Primera opción,Cuarta opción,Segunda opción,Tercera opción,Compartida,16-20,15-25
104,20,Mujer,Estudios Universitarios,Creyente,29,3,si,Primera opción,Segunda opción,Tercera opción,Cuarta opción,si,si,no,si,no,si,Compartida,Mujer,Estudios Universitarios,Creyente,Primera opción,Segunda opción,Tercera opción,Cuarta opción,Compartida,20-25,15-25
